country,location,latitude,longitude,project_type,sub_class,rock_formation,rock_strat,rock_fr_dens_min,rock_fr_dens_max,rockDensMin,rock_dens_max,rock_poro_min,rock_poro_max,rock_poro_mean,rock_perm_min,rock_perm_max,rock_perm_mean,rock_E_min,rock_E_max,rock_E_mean,rock_nu_min,rock_nu_max,rock_nu_mean,rock_K_min,rock_K_max,rock_G_min,rock_G_min,rock_biot_min,rock_biot_max,rock_phi_min,rock_phi_max,rock_c_min,rock_c_max,rock_ucs_min,rock_ucs_max,rock_T0_min,rock_T0_max,rock_lambda_min,rock_lambda_max,rock_beta_min,rock_beta_max,site_depth_bas_min,site_depth_bas_max,site_s_reg,site_sv_a,site_sv_b,site_sv_min,site_sv_max,site_shmax_a,site_shmax_b,site_shmax_min,site_shmax_max,site_shmin_a,site_shmin_b,site_shmin_min,site_shmin_max,site_shmax_dir_min,site_shmax_dir_max,site_p_a,site_p_b,site_p_min,site_p_max,site_T_min,site_T_max,fault_strike_min,fault_strike_max,fault_dip_min,fault_dip_max,fault_dip_dir_min,fault_dip_dir_max,fault_name,fault_type,fault_thick_min,fault_thick_max,fault_core_thick_min,fault_core_thick_max,fault_dist_inj,fault_inj_depth_min,fault_inj_depth_max,fault_dens_min,fault_dens_max,fault_poro_min,fault_poro_max,fault_perm_min,fault_perm_max,fault_Kn_min,fault_Kn_max,fault_Ks_min,fault_Ks_max,fault_psi_min,fault_psi_max,fault_E_min,fault_E_max,fault_nu_min,fault_nu_max,fault_phi_min,fault_phi_max,inj_depth_min,inj_depth_max,inj_type,int_start,inj_fluid,inj_T,inj_rate_max,inj_vol_min,inj_vol_max,inj_net_vol_min,inj_net_vol_max,inj_up_p,inj_down_p,seism_onset,seism_time_shift_onset,seism_events,seism_depth_min,seism_depth_max,seism_a_before,seism_b_before,seism_a_during,seism_b_during,seism_a_after,seism_b_after,moment_max,moment_max_type,,moment_max_depth_min,moment_max_depth_max,moment_distance,moment_date,reason,comment,data_sources,projectID
Canada,Fox Creek (SS8) (Well Pad 2),54.497,-117.382,Hydraulic fracturing,Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,,,3840,SS,0.025,0,,85,0.0292,0,,99.14,0.0321,-41.8,,109.14,N43E,N45.5E,0.0291,-39.6,,59.34,,,NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,,1/6/2015,Water with viscosity of 0.0004 Pa.s,100,1.25E-01,5.53E+04,,,,71.4,,12/30/2014,,286,,,,,,0.9,,,2.9,Mw,,,4060,,1/16/2015,,,"Bao and Eaton (2016), Eyre et al. (2019), Fox and Soltanzadeh (2015), Hui et al (2020), Hui et al (2021 a,b,c), Igonin et al. (2021), Reiter and Heidbach (2014), Reiter et al. (2014), Rodriguez (2018), Schultz et al. (2015), Schultz et al. (2017), Schultz et al. (2022), Shen et al. (2019),  Shen et al. (2021), Wang et al. (2016),  Zhao (2018)",88
Canada,Fox Creek (SS9) (Well Pad 6),54.354,-117.222,Hydraulic fracturing,Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,,,3840,SS,0.025,0,,84.5,0.0292,0,,98.56,0.0321,-41.8,,108.5,N43E,N45.5E,0.0291,-39.6,,58.76,,,NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,3380,,2/5/2015,Water with viscosity of 0.0004 Pa.s,100,1.50E-01,1.98E+04,,,,80,,2/6/2015,,365,,,,,,0.9,,,3.2,Mw,,,5360,,2/10/2015,,,"Bao and Eaton (2016), Eyre et al. (2019), Fox and Soltanzadeh (2015), Hui et al (2020), Hui et al (2021 a,b,c), Igonin et al. (2021), Reiter and Heidbach (2014), Reiter et al. (2014), Rodriguez (2018), Schultz et al. (2015), Schultz et al. (2017), Schultz et al. (2022), Shen et al. (2019),  Shen et al. (2021), Wang et al. (2016),  Zhao (2018)",89
Canada,Fox Creek (Well Pad 4),54.474,-117.226,Hydraulic fracturing,Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,,,3840,SS,0.025,0,,85,0.0292,0,,99.14,0.0321,-41.8,,109.14,N43E,N45.5E,0.0291,-39.6,,59.34,,,NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,,1/19/2015,Water with viscosity of 0.0004 Pa.s,100,1.67E-01,5.08E+05,,,,76.4,,2/16/2015,,28,,,,,,0.9,,,2.7,Mw,,,3460,,3/7/2015,,,"Bao and Eaton (2016), Eyre et al. (2019), Fox and Soltanzadeh (2015), Hui et al (2020), Hui et al (2021 a,b,c), Igonin et al. (2021), Reiter and Heidbach (2014), Reiter et al. (2014), Rodriguez (2018), Schultz et al. (2015), Schultz et al. (2017), Schultz et al. (2022), Shen et al. (2019),  Shen et al. (2021), Wang et al. (2016),  Zhao (2018)",90
Canada,Fox Creek (Well Pad 5),54.434,-117.526,Hydraulic fracturing,Fracking (injection),Duvernay shale,Shale,,,2510,2700,,,0.07,4.11E-19,5.00E-18,2.71E-18,,,50,,,0.25,,,,,,0.4,,,,,,,,,,,,,,3840,SS,0.025,0,,85,0.0292,0,,99.14,0.0321,-41.8,,109.14,N43E,N45.5E,0.0291,-39.6,,59.34,,,NS,,,90,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,,1/25/2015,Water with viscosity of 0.0004 Pa.s,100,1.50E-01,4.03E+04,,,,71.9,,2/4/2015,,7,,,,,,0.9,,,2.9,Mw,,,8730,,2/8/2015,,,"Bao and Eaton (2016), Eyre et al. (2019), Fox and Soltanzadeh (2015), Hui et al (2020), Hui et al (2021 a,b,c), Igonin et al. (2021), Reiter and Heidbach (2014), Reiter et al. (2014), Rodriguez (2018), Schultz et al. (2015), Schultz et al. (2017), Schultz et al. (2022), Shen et al. (2019),  Shen et al. (2021), Wang et al. (2016),  Zhao (2018)",91
Canada,Horn River Basin,,,Hydraulic fracturing,Fracking (injection),"Muskwa, Otter Park and Evie shales",Shale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2259,,,,,,,,,-0.03,,,,,,,,Maghsoudi et al. (2016) doesn't provide a date and time for the seismic events as well as no detailed hydromechanical information.,Maghsoudi et al. (2016),92
Canada,Horn River Basin (Etsho and Kiwigana fields),59.51,-122.52,Hydraulic fracturing,Fracking (injection),"Muskwa, Otter Park and Evie shales",Shale,,,,,0.01,0.12,0.06,1.70E-21,4.28E-20,3.77E-19,34,61,47,0.17,0.25,0.2,17.17,40.67,14.53,24.4,,,,,,,,,,,,,,,2427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650,2889,,2/1/2007,,,2.17E-01,6.16E+04,,,,,,4/8/2009,1,38,2800,2870,,,,1.21,,,3.8,ML,,,,200,5/19/2011,Magnitudes from 0.5 to 1 shows a transition from fracturing-driven seismicity to fault reactivation (Abundant north-south trending faulting),"38 events from NRCan array, injection values are averages from a selection of wells","BC Oil and Gas Commission report (2012), Davies et al. (2013), Dong (2016), Kettlety et al. (2019), Schultz et al. (2020), Teklu et al. (2018)",93
Canada,Montney Trend,56.572,-121.222,Hydraulic fracturing,Fracking (injection),Upper Montney Trend,Siltstone,,,2615,2615,0.03,0.06,0.05,9.86E-19,4.93E-17,2.51E-17,,,,0.1,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NNW-SSE,NNW-SSE,,,,,,,NNW-SSE,NNW-SSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,,Stimulation,,,,1.66E-01,8.98E+03,,,,65,,,,,,,,,,,,,-0.4,Mw,,,,,,Fault reactivation during stimulation,Well C. Well location not known so generic Montney Formation coordinates used from Wikipedia,"Maxwell et al. (2011), Vaisblat et al. (2019)",94
Canada,Septimus (Montney Trend),56.08,-120.931,Hydraulic fracturing,Fracking (injection),Montney Trend,Siltsone,,,2615,2615,0.03,0.06,0.05,9.86E-19,4.93E-17,2.51E-17,,,26.1,,,0.22,,,,,,,,,,,,,,,,,,,,,,0.0256,0,62.14,,0.0184,0,44.74,,0.0133,0,32.31,,,,,,23.81,23.81,,,,,,,,,,,,,,,,,,,,,,,,23,23,2.3,2.3,,,,,,,2.76E+01,2.76E+01,2427,,,,,,,,,,,,,5/27/2013,0.13,8,,,,,,,,,4.2,ML,,,,3000,5/27/2013,Mainly by fluid injection near preexisting faults; ,No further sources mention this event,"BC Oil and Gas Commission (2014), Maxwell et al. (2011), Vaisblat et al. (2019)",95
Canada,"Tony Creek dual Microseismic Experiment (ToC2ME), Fox Creek, Alberta",54.3,-117.25,Hydraulic fracturing,Fracking (injection),Ireton Shale,Shale,,,,,,,,,,4.93E-18,45,65,55,0.26,0.29,0.28,31.25,51.59,17.86,25.19,,,,,,,,,,,,,,,,,,0.0246,0,86.1,,0.033,0,115.5,0,0.019,0,66.5,,N45E,N60E,0.016,0,56,,,,N5E,,,,,,NS1,,,,,,1000,,,,,,,,,,,,,,,,,,,,,3500,,Stimulation,10/25/2016,,,,6.25E+04,,,,,,,,4083,3000,4000,,,,1.1,,,3.22,Mw,,,2979,,11/29/2016,Pore pressure difsuion along an existing fracture into a second fracture zone which failed during stimulation.,Very well documented case.,"Eaton et al. (2018), Ghanizadeh et al. (2015), Igonin et al. (2018), Igonin et al. (2021), Shen et al. (2018), Soltanzadeh et al. (2015)",96
China,"H7 well pad, Shangluo site, Zhaotong field",28.13,104.753,Hydraulic fracturing,Fracking (injection),Silurian Longmaxi ,Shale,,17.1,,,0.01,0.09,0.05,,,5.00E-20,,,20,,,0.22,,,,,,,,,,,50,100,,,,,,,,,SS/RF,0.026,0,,78,0.03,0,,90,0.025,0,,75,N100E,N115E,0.02,0,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,3000,,12/1/2014,,,2.00E-01,,2.52E+05,,,65,,12/1/2014,,"2400 with ML≥1.0, 4 ML>4",3000,4000,,,,,,0.9,4.7,Mw,,,1800,,1/28/2017,,,Lei et al. (2017),97
China,"N201-H18 well pad, Changning shale gas block, Sichuan Province",28.196,104.696,Hydraulic fracturing,Fracking (injection),Silurian Longmaxi,Shale,,,2650,2650,,,,,,,58.6,61.1,59.85,,,0.25,,,,32,,,,30,,,,197,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,352,,55,,,,,SS-RF,,,2,,,,,,,,,,,,,,,,,,,,,,,,,Stimulation,11/1/2018,,,,,,,,,,,,,2000,6000,,,,0.96,,,5.3,ML,,1840,,,1/3/2019,Overpressure reactivation of pre-existing faults by hydraulic fracturing.,,"Lei et al. (2017), Lei et al. (2019), Liang et al. (2014), Tan et al. (2020), Tang et al. (2021), Xu et al. (2019), Zhang et al. (2020), Zheng et al. (2020)",98
China,"N201-H24 well pad, Changning shale gas block, Sichuan Province",28.211,104.934,Hydraulic fracturing,Fracking (injection),Wufeng-Longmaxi,Shale,,,2183,2680,0.01,0.09,0.05,,,5.00E-20,,,20,,,0.22,,,,32,,,,,,,50,100,,,,,,,,,SS/RF,0.026,0,,78,0.03,0,,90,0.025,0,,75,N107.5E,,0.02,0,,60,,,,N170E,,83,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,3/5/2017,,,2.33E-01,,1.91E+03,,5.39E+05,73,,3/10/2017,5,,2500,4500,,,,,,0.96,5.17,Mw,,,3000,,12/16/2018,pore pressure diffusion,,"Lei et al. (2017), Lei et al. (2019), Liang et al. (2014), Tan et al. (2020), Tang et al. (2021), Xu et al. (2019), Zhang et al. (2020), Zheng et al. (2020)",99
China,"Rongxian County, Sichuan Basin",29.5,104.63,Hydraulic fracturing,Fracking (injection),Silurian Longmaxi,"Shale, Marlstone",,,,,0.01,0.09,0.05,,,5.00E-20,7,50,20,,,0.22,,,,,,,,,,,50,100,,,,,,,3000,,SS/RF,0.026,0,,70.2,0.03,0,,81,0.025,0,,67.5,N105E,N130E,0.02,0,,54,,,SE,,,,W,,Molin fault,RF,,,,,0,1000,,,,,,,,,,,,,,,,,,,,,2700,,,,,,,,,,,,2/23/2019,,,1000,2600,,,,,,,4.3,Mw,,,1000,100,2/25/2019,Poroelastic stress redistribution due to hydraulic fracturing in a beneath shale gas layer.,2 deaths and 12 injuries. Epicentre coordinates from IRIS earthquake browser. Yang et al. (2020) say MW 4.3 at 1 km depth. No public accessible injection data.,"Lei et al. (2017), Lei et al. (2019), Liang et al. (2014), Tan et al. (2020), Tang et al. (2021), Xu et al. (2019), Yang et al. (2020), Zhang et al. (2020)",100
China,"Shuanghe, Changning County, Sichuan",28.25,104.95,Hydraulic fracturing,Fracking (injection) and deep well injection for salt mining,Changing Anticline Structure,Rock Salt,,,,,,,0.15,,,1.00E-13,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSW,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,1.00E-13,,,,32,,,,,,0.25,,,2700,3000,Stimulation,1/1/1990,,,2.25E-03,8.50E+05,,,,8,,6/17/2019,,4000,1000,6000,,,,1.01,,,5.69,ML,,4000,5000,,6/17/2019,Deep well salt mining in combination with closeby hydraulic fracturing in the closeby Shangluo shale gas area,The induced seismic event happened close to a salt mining operation but might be influenced by the Changning shale gas development practices. The M5.7 Xingwen Earthquake in the Shangluo shale gas area seemed to set the prerequisites for the M6 Shuanghe one.,"Lei et al. (2017), Lei et al. (2019), Liang et al. (2014), Tan et al. (2020), Tang et al. (2021), Xu et al. (2019), Zhang et al. (2020), Zheng et al. (2020)",101
China,Weiyuan site,29.521,104.829,Hydraulic fracturing,Fracking (injection),Silurian Longmaxi,Shale,,,2650,2650,0.01,0.09,0.05,,,5.00E-20,7,50,20,,,0.22,,,,,,,,,,,50,100,,,,,,,,,SS/RF,0.026,0,,78,0.03,0,,90,0.025,0,,75,N105E,N130E,0.02,0,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,3000,short term injections,1/1/2015,,,,,,,,,,1/1/2015,,,,,,,,,,,3.4,Mw,,,,,1/1/2016,Hydraulic fracturing operations,,"Lei et al. (2017), Li et al. (2015), Li et al. (2017), Liang et al., 2014, Tang et al., 2021, Zhang et al. (2020), Zheng et al., 2020)",102
Poland,Wysin Site (Well 2H),54.094,18.306,Hydraulic fracturing,Fracking (injection),,Shale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,,stimulation,6/9/2016,,,,,1.88E+04,,,90.5,,,,162,,150,,,,,,,0.5,Mw,,,,,6/25/2016,,77 earthquakes detected overall for the two wells,López Comino et al. (2018),103
Poland,Wysin Site (Well 3H),54.094,18.306,Hydraulic fracturing,Fracking (injection),,Shale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,,stimulation,7/20/2016,,,,,1.72E+04,,,90.5,,,,162,,150,,,,,,,1,Mw,,,,,8/31/2016,,77 earthquakes detected overall for the two wells,López Comino et al. (2018),104
UK,Preese Hall (Stage 2),53.822,-2.951,Hydraulic fracturing,Fracking (injection),Bowland,Shale,,,2590,2640,0.02,0.05,0.03,1.00E-20,1.00E-19,5.50E-20,16.5,52,34.25,0.11,0.31,0.21,7.05,45.61,7.43,19.85,,,43,48.6,10,17.6,18,108,3,17,,,,,,,SS,0.0235,0,62.28,62.75,0.0283,0,74.94,75.51,0.017,0,44.97,45.31,,N7E,0.0156,0,41.34,41.65,,,,,,,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,6,23,2650,2670,Stimulation,3/28/2011,Pure water+Proppant,,1.60E-01,,4.20E+03,,,54,60,3/31/2011,,50,,,,,,,,1,2.3,ML,,,3600,1800,4/1/2011,Fault activation due to hydraulic fracturing (stage 2),"Occured 1 day after shut-in, variable rock properties with TOC content and geological properties","Anderson et al. (2019),  Clarke et al. (2014), Clarke et al. (2018), Clarke et al. (2019 a,b), Cuadrilla Resources (2019), Kettlety and Verdon (2021), Kettlety et al. (2021), Pater and Baisch (2011), Westaway (2017)",105
UK,Preese Hall (Stage 4),53.822,-2.951,Hydraulic fracturing,Fracking (injection),Bowland,Shale,,,2590,2640,0.02,0.05,0.03,1.00E-20,1.00E-19,5.50E-20,16.5,52,34.25,0.11,0.31,0.21,7.05,45.61,7.43,19.85,,,43,48.6,10,17.6,18,108,3,17,,,,,,,SS,0.0235,0,57.46,59.17,0.0283,0,69.14,71.21,0.017,0,41.49,42.73,,N7E,0.0156,0,38.14,39.28,,,,,,,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,6,23,2445,2518,Stimulation,5/26/2011,Pure water+Proppant,,2.10E-01,,7.00E+03,,,,54,5/26/2011,,,2585,2633,,,,,,,1.5,ML,,,,,5/27/2011,Stage 4 hydraulic fracturing,Occured 10 hours after shut-in,"Anderson et al. (2019), Clarke et al. (2014), Clarke et al. (2018), Clarke et al. (2019 a,b), Cuadrilla Resources (2019), Kettlety and Verdon (2021), Kettlety et al. (2021), Pater and Baisch (2011), Westaway (2017)",106
UK,Preston New Road (PNR-1Z),53.788,-2.951,Hydraulic fracturing,Fracking (injection),Bowland (Lower),Shale,,,2590,2640,0.02,0.05,0.03,1.00E-20,1.00E-19,5.50E-20,16.5,52,34.25,0.11,0.31,0.21,7.05,45.61,7.43,19.85,,,43,48.6,10,17.6,18,108,3,17,,,,,,,SS,0.0256,0,58.88,,0.0302,0,69.46,,0.018,0,41.4,,N131E,N151E,0.0144,0,33.12,,,,N57E,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,23,2300,,Stimulation,10/16/2018,Pure water+Proppant,,7.00E-02,,2.85E+03,,,35,58,,,6 events with ML>0.5,2200,2400,,,1.9,1.3,,,1.6,ML,,,,0,12/11/2018,500 m-long fracture intersected the wellbore (5 stages at least directly injected into the fault),Rock properties at Preston New Road were found to be similar to those of Preese Hall,"Anderson et al. (2019), Clarke et al. (2014), Clarke et al. (2018), Clarke et al. (2019 a,b), Cuadrilla Resources (2019), Kettlety and Verdon (2021), Kettlety et al. (2021), Pater and Baisch (2011), Westaway (2017)",107
UK,Preston New Road (PNR-2),53.788,-2.951,Hydraulic fracturing,Fracking (injection),Bowland (Upper),Shale,,,2590,2640,0.02,0.05,0.03,1.00E-20,1.00E-19,5.50E-20,16.5,52,34.25,0.11,0.31,0.21,7.05,45.61,7.43,19.85,,,43,48.6,10,17.6,18,108,3,17,,,,,,,SS,0.0256,0,53.76,,0.0302,0,63.42,,0.018,0,37.8,,N10E,N40E,0.0144,0,30.24,,,,NW-SE,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,23,2100,,Stimulation,8/15/2019,,,,,2.84E+03,,,,,,,,1950,2300,,,,1.1,,,2.9,ML,,,2050,200,8/26/2019,350 m-long fracture some 200 m away from three HF stages,72 hours after the last hydraulic fracturing stage- Delay is possibly related to pore pressure diffusion to the fault,"Anderson et al. (2019), Clarke et al. (2014), Clarke et al. (2018), Clarke et al. (2019 a,b), Cuadrilla Resources (2019), Kettlety and Verdon (2021), Kettlety et al. (2021), Pater and Baisch (2011), Westaway (2017)",108
United States of America,"Bienville Parish, Louisiana",32.361,-93.268,Hydraulic fracturing,Fracking (injection+production?),Haynesville Play,Shale,,,2490,2620,0.03,0.06,0.05,,,,20,60,40,0.15,0.35,0.25,9.52,66.67,8.7,22.22,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,60,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3660,,5/1/2011,,,2.50E-03,,,,,,,,,18,,,,,,,,,1.9,ML,,,1300,10000,10/15/2011,Hydraulic fracturing is the most likely triggering factor; Natural cause can not be ruled out,Hypocentre depth uncertain,"Sone et al. (2013), Walter et al. (2016)",109
United States of America,"Carthage, Cotton Valley Field, Panola County, Texas",32.157,-94.338,Hydraulic fracturing,Fracking (injection),Cotton Valley,Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N78E,N78E,,,,,,,N78E,N78.6E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2756,2838,Stimulation,5/14/1997,,,1.06E-01,1.10E+03,,,,,,5/14/1997,,"994, -1.9≤MW≤-0.2",2700,2850,,,,2.5,,,-0.2,Mw,,,,0,5/14/1997,Hydraulic Fracturing,Stimulation Phase 1 Stage 2,"Urbancic et al. (1999), Urbancic and Rutledge (2000)",110
United States of America,"Eagleton 1-29, Wilson, Oklahoma",34.096,-97.434,Hydraulic fracturing,Fracking (injection),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3220,3530,,7/7/2014,,,2.65E-01,,,,,55.2,,7/7/2014,0.1,26,,,,,,,,,3.2,ML,,,7300,4500,7/7/2014,Hydraulic fracturing operations,This event hasn't been mentioned by any other public sources.,Darold et al. (2014),111
United States of America,Eastern Panhandle Texas (Cluster C),31.8,-94.5,Hydraulic fracturing,Fracking (injection),"Granite Wash Play, Andarko Basin",Sandstone,,,,,0.05,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/2013,,8,,,,,,,,,4.2,MLadj,,,,,1/1/2014,"Spatial and temporal correlation exists, plausible that these earthquakes were triggered by fracking",This event hasn't been evaluated by any other public sources,"Srinivasan et al. (2013), Walter et al. (2018)",112
United States of America,"Edinburg, Pennsylvania",40.991,-80.432,Hydraulic fracturing,Fracking (injection),Utica Shale,Shale,,,,,0.01,0.06,0.04,2.96E-18,8.83E-14,2.16E-14,22.1,48.8,33.1,0.16,0.36,0.24,10.83,58.1,9.53,17.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/25/2016,,,,,,,,,,,,5,,,,,,,,,1.9,,,,,1500,4/25/2016,Hydraulic Fracturing is the most probable scenario,"Apart from the reference in post-gazette (2016), the event hasn't been examined in any scientific publication.","Sattler (2015), State studying link between fracking, Lawrence County earthquakes (2022)",113
United States of America,"Eola-Robberson field, Oklahoma",34.652,-98.006,Hydraulic fracturing,Fracking (injection),"Woodford and Viola, Ardmore Basin",Shale,,,2200,2900,0.01,0.03,0.05,4.36E-19,1.51E-17,7.77E-18,6.9,10.3,8.6,0.27,0.37,0.32,5,13.21,2.72,3.76,,,,,,,4.8,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N166E,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,2133,2996,,1/16/2011,Slick water,,2.65E-01,3.50E+04,,,,41.37,,1/17/2011,1,116,1600,3300,,,,0.98,,,2.9,ML,,,,2500,1/18/2011,Pore pressure diffusion: Fluid pressures have probably diffused through more permeable fracture and fault systems into a critically stressed fault and triggered earthquakes by increasing the pore pressure within a fault.,Well name: Picket Unit B Well 4-18,"Abousleiman et al. (2007), Holland (2011), Holland (2013a), Kilic and Tapp (2013), Ryan (2017)",114
United States of America,"Garvin County, Eola field, OK",34.559,-97.47,Hydraulic fracturing,Fracking (injection),Woodford shale and Viola lime,Shale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2133,3134,Stimulation,1/17/2011,,,,1.80E+04,,,,,,,,"86, with 16 1≤ML",2000,3000,,,,,0.98,1.4,2.9,ML,,2800,3300,2500,1/18/2011,,"Occured during hydraulic fracturing treatment, the first earthquake occured 24 hrs after injection","Holland (2011), Holland (2013)",115
United States of America,"Hughes County, Oklahoma",35.048,-96.249,Hydraulic fracturing,Fracking (injection),"Woodford Shale, Ardmore Basin",Shale,,,2200,2900,,,0.16,,,1.00E-16,,,17.3,,,0.31,,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,N80E,N100E,,,,,,,N75E,N78E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2522,2637,Stimulation,12/10/2007,,,,,,,,,,,,171,2473,2744,,,,,,,-1.9,,,,,,1/1/2007,Fault reactivation during stimulation,Stage V,"Neuhaus and Miskimins (2012), Ryan (2017)",116
United States of America,"Jonah field, Wyoming",42.422,-109.703,Hydraulic fracturing,Fracking (injection),Lance Formation,Sandstone,,,2630,,,,0.06,,2.47E-17,5.90E-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N18W,N64W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3280,3353,Stimulation,,,,,1.19E+02,2.78E+02,,,,,,,,3170,3430,,,,,,,-1.2,,,,,,,Fault reactivation during stimulation,EAST 4 stage 3,"Cluff and Cluff (2004), Wolhart et al. (2006)",117
United States of America,"Poland Township, Ohio",41.014,-80.536,Hydraulic fracturing,Fracking (injection),Utica-Point Pleasant,Shale,,,2680,,0.06,,0.06,,1.00E-16,1.00E-16,,17.8,17.8,0.27,,0.27,,5.93,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N59E,,,,,,,,N83E,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,3/4/2014,,,,,,,,,,3/4/2014,,77,2900,3200,,,,0.89,,,3,ML,,,3100,270,3/10/2014,hydraulic fracturing induced slip along a pre-existing basement-rooted fault,,Skoumal et al. (2015),118
United States of America,"Ryser wells, Harrison County, Ohio",40.216,-81.2,Hydraulic fracturing,Fracking (injection),Utica-Point Pleasant,Shale,,,2680,,0.06,,0.06,,1.00E-16,1.00E-16,,17.8,17.8,0.27,,0.27,,5.93,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N58E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2422,,,9/7/2013,,,1.77E-01,9.42E+04,,,,89,,9/8/2013,,478,2800,3400,,,,,,1.3,2,Mw,,,,,10/2/2013,,"Injection volume total for 3 wells, pressure and rate are max values",Friberg et al. (2014),119
Canada,University of Toronto,43.661,-79.396,Research,laboratory hydraulic fracture experiments,Westerly granite,Granite,,,,,0.01,,0.01,4.00E-19,,4.00E-19,37.5,,37.5,0.25,,0.25,25,,15,,0.45,,,,,,,,,,,,,,,,,,,10,,,,30,,,,30,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/2015,Distilled water,,6.70E-08,4.20E-06,,,,,,,,52,,,,,,2.49,,,-7,Mw,,,,0,1/1/2015,,,Goodfellow et al. (2015),120
